subject_id	parent_id	subject_kind	location	identity	access_class	license_status	lifecycle_status	notes
ro-root		research-object	.	datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a;git:containing-commit:.	public	UNDECLARED	phase0-complete	Top-level DataLad research object; not a BIDS dataset
dataset-root	ro-root	datalad-dataset	.datalad/config	datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a;git:d5be2909a0c7ed0f4232d346e63f20b5ae249880	public	UNDECLARED	initialized	Repository version 10; SHA256E default configured before any annex keys
config-annex-policy	ro-root	configuration	.gitattributes	git:containing-commit:.gitattributes	public	UNDECLARED	active	Routes non-empty binary content to git-annex with SHA256E and text to Git
config-root-ignore	ro-root	configuration	.gitignore	git:containing-commit:.gitignore	public	UNDECLARED	active	Excludes Python bytecode and local .venv content without hiding Pixi discovery links
policy-agents	ro-root	agent-policy	AGENTS.md	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:AGENTS.md	public	UNDECLARED	active	Requires local skills and commit trailer
doc-readme	ro-root	documentation	README.md	git:containing-commit:README.md	public	UNDECLARED	active	Describes the initialized root, Phase 0 records, tooling, and honest ideal gaps
doc-conversion-plan	ro-root	plan	docs/conversion-plan.md	git:containing-commit:docs/conversion-plan.md	public	UNDECLARED	active	Records the completed in-place bootstrap before Phase 0 and adjusts later phase work
skill-stamped	ro-root	skill	skills/stamped-neuroimaging-analysis/SKILL.md	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/stamped-neuroimaging-analysis/SKILL.md	public	UNDECLARED	active	Complete repository-local STAMPED operating policy
skill-bids-builder	ro-root	skill	skills/bids-app-builder/SKILL.md	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/bids-app-builder/SKILL.md	public	UNDECLARED	available	Required when a project BIDS App is created or adapted
env-pixi-manifest	ro-root	environment-definition	envs/pixi.toml	git:containing-commit:envs/pixi.toml	public	UNDECLARED	active	Pins Pixi requirement and exact DataLad tooling constraints for osx-arm64 and linux-64
env-pixi-lock	ro-root	environment-lock	envs/pixi.lock	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/pixi.lock	public	UNDECLARED	active	Exact multi-platform solve; macOS git-annex is a declared host dependency
doc-env-bootstrap	ro-root	documentation	envs/README.md	git:containing-commit:envs/README.md	public	UNDECLARED	active	Documents exact bootstrap, locked commands, and the macOS git-annex boundary
link-pixi-prefix	ro-root	discovery-link	.pixi -> envs/.pixi	git:55a061ebcaf614555fa73e9eea1e45e808199c18:.pixi	public	UNDECLARED	active	Root Pixi prefix discovery link; realized content is ignored
link-pixi-manifest	ro-root	discovery-link	pixi.toml -> envs/pixi.toml	git:55a061ebcaf614555fa73e9eea1e45e808199c18:pixi.toml	public	UNDECLARED	active	Root Pixi manifest discovery link
link-pixi-lock	ro-root	discovery-link	pixi.lock -> envs/pixi.lock	git:55a061ebcaf614555fa73e9eea1e45e808199c18:pixi.lock	public	UNDECLARED	active	Root Pixi lock discovery link
config-pixi-prefix-ignore	ro-root	configuration	envs/.pixi/.gitignore	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/.pixi/.gitignore	public	UNDECLARED	active	Tracks only the ignore policy inside the realized Pixi prefix
tool-pixi-bootstrap	ro-root	bootstrap-tool	envs/bootstrap-pixi.sh	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/bootstrap-pixi.sh	public	UNDECLARED	active	Checksummed Pixi 0.66.0 installer for supported bootstrap hosts
tool-stamped-validator	ro-root	validation-tool	scripts/validate_stamped.py	git:containing-commit:scripts/validate_stamped.py	public	UNDECLARED	active	Structural and ideal assessment gates
tool-phase0-validator	ro-root	validation-tool	scripts/validate_phase0.py	git:containing-commit:scripts/validate_phase0.py	public	UNDECLARED	active	Checks target coverage, source/runtime inventories, poster identity, and manifest placeholders
record-source-inventory	ro-root	inventory	docs/source-inventory.tsv	git:containing-commit:docs/source-inventory.tsv	public	UNDECLARED	phase0-evidence	Read-only old-repository and missing-evidence inventory
record-evidence-manifest	ro-root	evidence-index	docs/evidence-manifest.tsv	git:containing-commit:docs/evidence-manifest.tsv	public	UNDECLARED	phase0-evidence	Registers poster bytes without redistributing pending permission
record-result-targets	ro-root	result-specification	docs/result-targets.md	git:containing-commit:docs/result-targets.md	public	UNDECLARED	phase0-evidence	Stable target registry and unresolved scientific specifications
record-runtime-candidates	ro-root	runtime-registry	config/runtime-candidates.tsv	git:containing-commit:config/runtime-candidates.tsv	public	UNDECLARED	phase0-evidence	Discovered, planned, and unresolved runtime candidates
record-result-manifest	ro-root	result-index	result-manifest.tsv	git:containing-commit:result-manifest.tsv	public	UNDECLARED	phase0-evidence	Ninety pilot and claim-bearing placeholders covering 45 stable targets
record-components	ro-root	component-inventory	config/components.tsv	git:containing-commit:config/components.tsv	public	UNDECLARED	phase0-evidence	Component boundary assessed by stable identifiers
record-stamped-assessment	ro-root	assessment	config/stamped-assessment.tsv	git:containing-commit:config/stamped-assessment.tsv	public	UNDECLARED	phase0-evidence	Seven-principle root and component assessment
record-hardening	ro-root	decision-record	config/hardening-decisions.tsv	git:containing-commit:config/hardening-decisions.tsv	public	UNDECLARED	phase0-evidence	Signing, SBOM, attestation, and OCI decisions
license-project	ro-root	license-policy	REUSE.toml;LICENSES/;docs/licensing.md	git:containing-commit:REUSE.toml	public	MIT;external-component-terms-scoped	active	MIT covers project-authored material; scoped external terms remain separate
source-old-repo	ro-root	historical-repository	https://github.com/NIMH-MLT/dl_morphometrics_biases	git:448bf1a311c1ab8310cbab613a8123bb4a4f4a00;tree:a20dbdcf9aba57e3661c375a0e4225b37a01d6fb	public	no-repository-license	read-only-evidence	Clean main snapshot; not known result-generating commit
source-old-branch	source-old-repo	historical-branch	origin/add-synthsr-plan	git:7c7e2200945a914eb5fcd1e84c49419429d8ace6;tree:b4df6b4efc65e804889be8222f61585036b6541b	public	no-repository-license	decision-pending	Six later commits; inclusion or exclusion must be decided before import
source-old-manifest	source-old-repo	historical-manifest	pyproject.toml	blob:48961a87e09726b179b73aaf672c367f55ad953b	public	no-repository-license	read-only-evidence	Unpinned dependency ranges and no lock
source-old-constants	source-old-repo	historical-module	dl_morphometrics_helpers/constants.py	blob:84e88351954bf2897eaf763372406d60e9fa1092	public	no-repository-license	candidate-import	Hard-coded controlled and cache paths
source-old-processing	source-old-repo	historical-module	dl_morphometrics_helpers/data_processing.py	blob:d443a231975afeedd1ff7ff71e1e6c6b8d5ef01d	public	no-repository-license	candidate-import	Two helper functions
source-old-fsstats	source-old-repo	historical-script	scripts/fsstats_extraction.py	blob:5658ea7985908101674a3996ead3fa9f612c154d	public	no-repository-license	candidate-import	Path-cache and implicit output concerns
source-old-freeview	source-old-repo	historical-script	scripts/comparison_script.sh	blob:a6ba84cdc9557783dae00184978093860f32d129	public	no-repository-license	read-only-evidence	Interactive and host-dependent
source-old-nb-check	source-old-repo	historical-notebook	notebooks/check_numbers.ipynb	blob:1bef5e5188b862c7bc6c7964e2724de53b037957	public	no-repository-license	read-only-evidence	Outputs stripped and inputs absent
source-old-nb-logs	source-old-repo	historical-notebook	notebooks/exploration-recon-any-swarm.ipynb	blob:a1772535a8fbf6d2de0c1e7a4d9625b6832ebb6a	public	no-repository-license	read-only-evidence	Referenced logs absent
source-old-nb-figures	source-old-repo	historical-notebook	notebooks/figures.ipynb	blob:720b364a88a3a1e0922360230979d403e2fec7b5	public	no-repository-license	candidate-import	Broken references, unseeded split, no outputs
source-old-nb-process	source-old-repo	historical-notebook	notebooks/process_freesurfer_recon-any.ipynb	blob:e5d50b419cf3b4453902dc319f0bfb334a8df03f	public	no-repository-license	read-only-evidence	Duplicates script and mutates environment metadata
source-old-nb-rany	source-old-repo	historical-notebook	notebooks/run_freesurfer.ipynb	blob:28ce57d7b737af271fb76d0df771bacf7e71fea5	public	no-repository-license	read-only-evidence	Exact runtime, weights, commands, and logs absent
source-old-nb-fs8	source-old-repo	historical-notebook	notebooks/run_freesurfer8-recon-all.ipynb	blob:0c0b203e3b4a2ee332afd0cb1ba30a02a6d18dd9	public	no-repository-license	read-only-evidence	Historical mention is 8.0.0, not intended 8.2.0 target
